module,path,class_name,status,notes
algebra,algebra/src/main/java/org/almostrealism/algebra/AlgebraFeatures.java,AlgebraFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/ComplexNumber.java,ComplexNumber,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Differentiable.java,Differentiable,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/FloatingPointList.java,FloatingPointList,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Gradient.java,Gradient,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/IntersectionPoint.java,IntersectionPoint,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Matrix3D.java,Matrix3D,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/MatrixFeatures.java,MatrixFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Pair.java,Pair,investigated,Well documented. MCP search works. Module docs accurate.
algebra,algebra/src/main/java/org/almostrealism/algebra/PairFeatures.java,PairFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/ParticleGroup.java,ParticleGroup,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/PolynomialTerm.java,PolynomialTerm,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/ScalarFeatures.java,ScalarFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Tensor.java,Tensor,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/UnityVector.java,UnityVector,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/Vector.java,Vector,investigated,Well documented with javadoc. MCP module docs accurate.
algebra,algebra/src/main/java/org/almostrealism/algebra/VectorFeatures.java,VectorFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/VectorMath.java,VectorMath,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/ZeroVector.java,ZeroVector,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/Choice.java,Choice,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/DiagonalMatrixComputation.java,DiagonalMatrixComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/HighestRank.java,HighestRank,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/IdentityMatrixComputation.java,IdentityMatrixComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/MatrixExpressionComputation.java,MatrixExpressionComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/ProducerWithRankAdapter.java,ProducerWithRankAdapter,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/ScalarMatrixComputation.java,ScalarMatrixComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/Switch.java,Switch,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/computations/WeightedSumComputation.java,WeightedSumComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/algebra/package-info.java,package-info,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/calculus/DeltaAlternate.java,DeltaAlternate,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/calculus/DeltaFeatures.java,DeltaFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/calculus/InputStub.java,InputStub,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/CollectionFeatures.java,CollectionFeatures,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/CollectionProducer.java,CollectionProducer,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/CollectionProducerComputation.java,CollectionProducerComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/CollectionProducerParallelProcess.java,CollectionProducerParallelProcess,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/DelegatedCollectionProducer.java,DelegatedCollectionProducer,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/ExplicitIndexTraversalOrdering.java,ExplicitIndexTraversalOrdering,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/IndexMaskTraversalOrdering.java,IndexMaskTraversalOrdering,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/PackedCollection.java,PackedCollection,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/AggregatedProducerComputation.java,AggregatedProducerComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/ArithmeticSequenceComputation.java,ArithmeticSequenceComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/AtomicConstantComputation.java,AtomicConstantComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionAddComputation.java,CollectionAddComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionComparisonComputation.java,CollectionComparisonComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionConjunctionComputation.java,CollectionConjunctionComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionConstantComputation.java,CollectionConstantComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionExponentComputation.java,CollectionExponentComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
algebra,algebra/src/main/java/org/almostrealism/collect/computations/CollectionExponentialComputation.java,CollectionExponentialComputation,investigated,Module has MCP documentation coverage. Batch reviewed.
